System Number,OCLC No.
126324,(OCoLC)07159126
229822,(OCoLC)12833612
233433,(OCoLC)13147914
236465,(OCoLC)13363513
236466,(OCoLC)13386142
240640,(OCoLC)13776838
252947,(OCoLC)15193755
257833,(OCoLC)15685461
261898,(OCoLC)16391988
266472,(OCoLC)16926694
300135,(OCoLC)20228947
322964,(OCoLC)22340774
348879,(OCoLC)23284241
359822,(OCoLC)24768538
364995,(OCoLC)25331810
375128,(OCoLC)26435204
378006,(OCoLC)19210960
399717,(OCoLC)28571369
447374,(OCoLC)33121678
451310,(OCoLC)33724491
486073,(OCoLC)39055167
486665,(OCoLC)39113641
510873,(OCoLC)42288596
516504,(OCoLC)43211204
562436,(OCoLC)55940409
566970,(OCoLC)43190476
599386,(OCoLC)122927973
651644,(OCoLC)495709839
655688,(OCoLC)468817120
723443,(OCoLC)954611860
723445,(OCoLC)954611555
764546,(OCoLC)690234103
810641,
810644,
810670,
810674,
,
810678,
818455,(OCoLC)780162942
832906,(OCoLC)961923960
835128,(OCoLC)794923833
835855,
841195,(OCoLC)754643368
844581,
872514,(OCoLC)794924574
882767,(OCoLC)1097665781
894136,
930510,(OCoLC)881503024
949044,(OCoLC)908768582
951881,(OCoLC)912287134
974172,(OCoLC)51274515
975530,
986214,(OCoLC)958303087
986246,(OCoLC)958302867
986281,(OCoLC)1229040371
1013502,
1014498,
1014870,
1080493,(OCoLC)1052898206
1094083,(OCoLC)1089134348
1097555,(OCoLC)1097666037
1098864,(OCoLC)1104537402
1116708,(OCoLC)1230245227
1178996,(OCoLC)1317092919
1179008,(OCoLC)1317093171
1233286,(OCoLC)1394915655
1256441,
1262495,(OCoLC)1432973087
1413727,(OCoLC)1451071653
1414111,
1414127,
1414541,(OCoLC)920671310
